Data table for: E:\YR 4 LVAY DATA\GT3X+\Hip\1024_V2L3XP_41sec.agd
Date, Time, Axis1,Axis2,Axis3,Inclinometer,Vector Magnitude
4/22/2011,16:00:00,0,0,0,0,0
4/22/2011,16:00:01,0,0,0,0,0
4/22/2011,16:00:02,0,0,0,0,0
4/22/2011,16:00:03,0,0,0,0,0
4/22/2011,16:00:04,0,0,0,0,0
4/22/2011,16:00:05,0,0,0,0,0
4/22/2011,16:00:06,0,0,0,0,0
4/22/2011,16:00:07,0,0,0,0,0
4/22/2011,16:00:08,0,0,0,0,0
4/22/2011,16:00:09,0,0,0,0,0
4/22/2011,16:00:10,0,0,0,0,0
4/22/2011,16:00:11,0,0,0,0,0
4/22/2011,16:00:12,0,0,0,0,0
4/22/2011,16:00:13,0,0,0,0,0
4/22/2011,16:00:14,0,0,0,0,0
4/22/2011,16:00:15,0,0,0,0,0
4/22/2011,16:00:16,0,0,0,0,0
4/22/2011,16:00:17,0,0,0,0,0
4/22/2011,16:00:18,0,0,0,0,0
4/22/2011,16:00:19,0,0,0,0,0
4/22/2011,16:00:20,0,0,0,0,0
4/22/2011,16:00:21,0,0,0,0,0
4/22/2011,16:00:22,0,0,0,0,0
4/22/2011,16:00:23,0,0,0,0,0
4/22/2011,16:00:24,0,0,0,0,0
4/22/2011,16:00:25,0,0,0,0,0
4/22/2011,16:00:26,0,0,0,0,0
4/22/2011,16:00:27,0,0,0,0,0
4/22/2011,16:00:28,0,0,0,0,0
4/22/2011,16:00:29,0,0,0,0,0
4/22/2011,16:00:30,0,0,0,0,0
4/22/2011,16:00:31,0,0,0,0,0
4/22/2011,16:00:32,0,0,0,0,0
4/22/2011,16:00:33,0,0,0,0,0
4/22/2011,16:00:34,0,0,0,0,0
4/22/2011,16:00:35,0,0,0,0,0
4/22/2011,16:00:36,0,0,0,0,0
4/22/2011,16:00:37,0,0,0,0,0
4/22/2011,16:00:38,0,0,0,0,0
4/22/2011,16:00:39,0,0,0,0,0
4/22/2011,16:00:40,0,0,0,0,0
4/22/2011,16:00:41,0,0,0,0,0
4/22/2011,16:00:42,0,0,0,0,0
4/22/2011,16:00:43,0,0,0,0,0
4/22/2011,16:00:44,0,0,0,0,0
4/22/2011,16:00:45,0,0,0,0,0
4/22/2011,16:00:46,0,0,0,0,0
4/22/2011,16:00:47,0,0,0,0,0
4/22/2011,16:00:48,0,0,0,0,0
4/22/2011,16:00:49,0,0,0,0,0
4/22/2011,16:00:50,0,0,0,0,0
4/22/2011,16:00:51,0,0,0,0,0
4/22/2011,16:00:52,0,0,0,0,0
4/22/2011,16:00:53,0,0,0,0,0
4/22/2011,16:00:54,0,0,0,0,0
4/22/2011,16:00:55,0,0,0,0,0
4/22/2011,16:00:56,0,0,0,0,0
4/22/2011,16:00:57,0,0,0,0,0
4/22/2011,16:00:58,0,0,0,0,0
4/22/2011,16:00:59,0,0,0,0,0
4/22/2011,16:01:00,0,0,0,0,0
4/22/2011,16:01:01,0,0,0,0,0
4/22/2011,16:01:02,0,0,0,0,0
4/22/2011,16:01:03,0,0,0,0,0
4/22/2011,16:01:04,0,0,0,0,0
4/22/2011,16:01:05,0,0,0,0,0
4/22/2011,16:01:06,0,0,0,0,0
4/22/2011,16:01:07,0,0,0,0,0
4/22/2011,16:01:08,0,0,0,0,0
4/22/2011,16:01:09,0,0,0,0,0
4/22/2011,16:01:10,0,0,0,0,0
4/22/2011,16:01:11,0,0,0,0,0
4/22/2011,16:01:12,0,0,0,0,0
4/22/2011,16:01:13,0,0,0,0,0
4/22/2011,16:01:14,0,0,0,0,0
4/22/2011,16:01:15,0,0,0,0,0
4/22/2011,16:01:16,0,0,0,0,0
