Data table for: E:\YR 4 LVAY DATA\GT3X+\Hip\1118_V2R3XP_41sec.agd
Date, Time, Axis1,Axis2,Axis3,Inclinometer,Vector Magnitude
2/21/2011,15:30:00,0,0,0,0,0
2/21/2011,15:30:01,0,0,0,0,0
2/21/2011,15:30:02,0,0,0,0,0
2/21/2011,15:30:03,0,0,0,0,0
2/21/2011,15:30:04,0,0,0,0,0
2/21/2011,15:30:05,0,0,0,0,0
2/21/2011,15:30:06,0,0,0,0,0
2/21/2011,15:30:07,0,0,0,0,0
2/21/2011,15:30:08,0,0,0,0,0
2/21/2011,15:30:09,0,0,0,0,0
2/21/2011,15:30:10,0,0,0,0,0
2/21/2011,15:30:11,0,0,0,0,0
2/21/2011,15:30:12,0,0,0,0,0
2/21/2011,15:30:13,0,0,0,0,0
2/21/2011,15:30:14,0,0,0,0,0
2/21/2011,15:30:15,0,0,0,0,0
2/21/2011,15:30:16,0,0,0,0,0
2/21/2011,15:30:17,0,0,0,0,0
2/21/2011,15:30:18,0,0,0,0,0
2/21/2011,15:30:19,0,0,0,0,0
2/21/2011,15:30:20,0,0,0,0,0
2/21/2011,15:30:21,0,0,0,0,0
2/21/2011,15:30:22,0,0,0,0,0
2/21/2011,15:30:23,0,0,0,0,0
2/21/2011,15:30:24,0,0,0,0,0
2/21/2011,15:30:25,0,0,0,0,0
2/21/2011,15:30:26,0,0,0,0,0
2/21/2011,15:30:27,0,0,0,0,0
2/21/2011,15:30:28,0,0,0,0,0
2/21/2011,15:30:29,0,0,0,0,0
2/21/2011,15:30:30,0,0,0,0,0
2/21/2011,15:30:31,0,0,0,0,0
2/21/2011,15:30:32,0,0,0,0,0
2/21/2011,15:30:33,0,0,0,0,0
2/21/2011,15:30:34,0,0,0,0,0
2/21/2011,15:30:35,0,0,0,0,0
2/21/2011,15:30:36,0,0,0,0,0
2/21/2011,15:30:37,0,0,0,0,0
2/21/2011,15:30:38,0,0,0,0,0
2/21/2011,15:30:39,0,0,0,0,0
2/21/2011,15:30:40,0,0,0,0,0
2/21/2011,15:30:41,0,0,0,0,0
2/21/2011,15:30:42,0,0,0,0,0
2/21/2011,15:30:43,0,0,0,0,0
2/21/2011,15:30:44,0,0,0,0,0
2/21/2011,15:30:45,0,0,0,0,0
2/21/2011,15:30:46,0,0,0,0,0
2/21/2011,15:30:47,0,0,0,0,0
2/21/2011,15:30:48,0,0,0,0,0
2/21/2011,15:30:49,0,0,0,0,0
2/21/2011,15:30:50,0,0,0,0,0
2/21/2011,15:30:51,0,0,0,0,0
2/21/2011,15:30:52,0,0,0,0,0
2/21/2011,15:30:53,0,0,0,0,0
2/21/2011,15:30:54,0,0,0,0,0
2/21/2011,15:30:55,0,0,0,0,0
2/21/2011,15:30:56,0,0,0,0,0
2/21/2011,15:30:57,0,0,0,0,0
2/21/2011,15:30:58,0,0,0,0,0
2/21/2011,15:30:59,0,0,0,0,0
2/21/2011,15:31:00,0,0,0,0,0
2/21/2011,15:31:01,0,0,0,0,0
2/21/2011,15:31:02,0,0,0,0,0
2/21/2011,15:31:03,0,0,0,0,0
